"cleaned_text","created_at","total_interactions_count"
"I think it important for people to be educated on Gaza before spewing anything from talking points you have heard.","07",18454
"Thread Online misinformation is rampant following the escalation of violence between Israel and Hamas today. This video of a tower block in Gaza being hit by a missile is from May 2021 not today. It was captured live during a BBC Arabic broadcast at the time.","07",19090
"Another video of hostages taken by Hamas into Gaza","07",25700
"BREAKING Residential building in Gaza has been destroyed by aerial bombs as Hamas continues to target innocent people in Israel. Israel PM Benjamin Netanyahu has declared war in response to the attacks saying the enemy will pay a price it has never known before. Biden has","07",28458
"Netanyahu knows hes about to commit an unprecedented massacre in Gaza. He knows civilians in Gaza have nowhere to go because Israel has them trapped under siege. This meaninglessleave now nonsense is for fooling uninformed people into thinking he cares about civilians.","07",20641
"Israel has 1 Gaza India has hundreds of Gaza","07",31327
"MAJOR missile strike from Gaza heading towards central Israel.","07",31948
"Beautiful response by brother from Gaza Alhamdulillah","07",17459
"Since 6AM today in Israel 3000 rockets launched by Hamas in Gaza toward Israel. 20 communities in southern Israel invaded by Hamas terrorist operatives. Terrorists rampaged and broke into homesmassacring civilians. Israeli civilians and soldiers have been","07",19895
"Israeli Air Force destroyed the 'Palestine Tower' in Gaza affiliated with Hamas. The mainstream media show this and present Israel as if we are the bad guys forgetting that Hamas fired today 4000 rockets into Israeli cities kidnapped and murdered civilians.","07",20665
"Netanyahu telling Palestinians in Gaza to leave now because hes about to bombard the besieged Strip as if they can do anything to leave that openair prison which is Gaza","07",23745
"Palestinian terrorists have attacked Israel on a Jewish holy day. Because Israel has never bombed Gaza in Ramadan and Eid.","07",22196
"MOMENTS AGO Hamas fired a barrage of rockets from Gaza into Tel Aviv. Hamas is targeting civilians. Israel is targeting terrorists. That's the difference.","07",19328
"When Israel bombs the fuck out of Gaza which it should for however long it takes remember that Egypt which shares a border with Gaza wont let one Palestinian in. Actually theyve bombed the border and flooded tunnels to keep their Palestinian brothers out.","07",27113
"The electricity may be out in Gaza but their night sky is going to be bright tonight. Stay tuned.","07",38491
"The Israeli girl who was kidnapped by Hamas terrorists on a motorcycle today is named Noa She was attending a music festival dedicated to peace which was taking place near the border fence with Gaza","07",23510
"Horrible A group of Israeli women and children has been abducted to Gaza. I saw Muslims  few leftists in India tweeting a video in which Hamas terrorists can be seen preaching about humanity. Will they share this video?","07",10693
"Why doesn't the EU Commission Presidentever condemn the Apartheid State of Israel for turning Gaza into an open air Prison of 2 million people..? Does she think the Palestinians have no right to resist Israeli Terrorism..?","07",14340
"If you look at footage of a murdered young Israeli womans corpse being paraded around the Gaza Strip and see this as a day of celebration for supporters of democracy and human rights then you are completely devoid of a moral conscience and are fundamentally broken as a person.","07",28366
"Israel Minister of Defense Yoav Gallant Fifteen years ago as Head of the Southern Command I came close to 'breaking the neck' destroying of Hamas. I was stopped by the political echelon. This phenomenon will not continue. We will change reality on the ground in Gaza for the","07",20318
"Since Middle East Gaza Israel Hamas and Iran are all trending... ...it's a good time to remind everyone that putting extreme religious conservatives in power always leads to the opposites of what their religions teach.","07",19509
"BREAKING Israel decides to cut electricity supply to Gaza","07",32161
"Wait Is Israel lifting the 16yo blockade? Otherwise this is a joke. Palestinians in Gaza have nowhere to go.","07",15452
"Netanyahu bears responsibility for this IsraelGaza war","07",13790
"Gaza is a cage is the biggest prison in the world. Nobody spoke about lifting the siege. People who live 70 years in a cage want to resist and if they have the possibility they'll do it... Israeli journalist Gideon Levy speaking on BBC News.","07",15654
"If Palestinians stopped doing x Israel would... Continue to occupy Gaza Continue to expand illegal settlements Continue to facilitate apartheid Continue to beat torture maim and murder Palestinians Whether or not Palestinians respond to Israeli oppression it continues","07",12756
"Israeli forces shot and killed 12yearold Ahmad Abdulnaser Adnan Rabi today around 7 p.m. near Qalqilya in the northern occupied West Bank during a demonstration in solidarity with Palestinians in Gaza. Ahmad sustained a gunshot wound to the waist.","07",8946
"Our occupied lands we returned to it after 80 years. A Palestinian man from Gaza sets break down in tears after crossing into 'occupied land'","07",12157
"A very long line of Israeli tanks is heading south. The start of a ground invasion of Gaza is just a matter of time","07",18618
"BREAKING Egyptian negotiators notified Israel that in the event of a ground operation in the Gaza Strip Lebanese Hezbollah would enter the war.","07",17565
"BREAKING Unconfirmed reports of Hezbollah threatening to invade Israel from Lebanon if Israel launches a ground offensive against Gaza The Egyptian gov. has allegedly passed on the information from Hezbollah to Israel. It's worth remembering that Hezbollah is an Iranian tool","07",12061
"Gaza is the 2nd most densely populated place on earth. it is an open air prison entering its 17th year of siege. Gaza is routinely massacred  used as testing grounds for new weapons tech. why are you outraged that they would resist? do you expect Gazans to lay down and die?","07",16605
"BREAKING Israeli Prime Minister Benjamin Netanyahu called on Palestinian civilians in Gaza to leave now because the Israeli military is going to turn all Hamas hiding places into rubble","07",18401
"Yes life in Gaza has been terrible and Palestinians have suffered under occupation. No it doesnt make it right to go rape and kill Israeli women and kidnap and parade their orphaned children in Gaza. I dont know why but somehow lots of people dont seem to understand that.","07",22386
"Hamas wants to provoke Israel into destroying Gaza so that the entire Middle East declares war on Israel in an eschatological Final Battle This is not random","07",16006
"We've made Gaza Fights For Freedom byfree. Watch it and send to anyone defending Israel today","07",8912
"Todays Hamas operation from Gaza surprised Israel but it should be no surprise that Palestinians refuse to accept the fate to which Israel seeks to consign them. The fighters of Gaza and West Bank see a choice between living on their knees or dying on their feet 17","07",13523
"Israel withdrew from the Gaza strip in 2005 and dismantled its settlements. Instead of peace Palestinians chose Hamas. Hamas choose to build rockets not factories. They choose to buy guns not books. They choose to try to kill instead of make peace. It is all their choice.","07",13021
"Gaza is one of the most densely populated places on Earth. And Israel makes sure its residents cannot leave. This is a call to massacre a civillian population.","07",11389
"Israeli occupation forces have bombed two hospitals in Gaza. So far we know a nurse an ambulance driver and a paramedic named Marwan Abu Rayda have been killed by Israeli strikes.","07",9743
"Latest numbers 300 Israelis killed 1500 wounded 3000 rockets fired into Israel Dozens of Israeli soldiers and civilians taken hostage and now are POWs in Gaza 252 Palestinians dead 1000 wounded The war continues at this hour.","07",10721
"Breaking Israel Attacks have begun against targets in Gaza but after the horror of what the Palastinians have done to Israeli civilian men woman and children and their brutal slaughter there is an expectation that the punishment may be so severe that Palestine may be","07",11214
"Gaza has been under a naval blockade  its 2 mil Palestinians subject to 4 large scale offensives. Any shock in response to this multi scalar attack reflects an expectation that those Palestinians die quietly and a complicity in their strangulation.","07",10006
"Buildings in the Iraqi capital Baghdad are decorated with the Palestinian flag. Gaza","07",16388
"There are now at least two women confirmed kidnapped while attending the same music festival the Festival for Peace' near the Gaza border earlier today. One woman Noa was seen in a video being kidnapped and screaming while beingassaulted and driven away on a motorbike as a","07",13940
"Al Jazeera'slive on air from Gaza as an Israeli missile hits what appears to be a highrise residentialoffice tower. Her reporting has been outstanding today.","07",9044
"In an act of traditional cowardice Israel attacks the already besieged Gaza a heavily populated civilian area showing no regard for innocent life. ProIsrael activists urge on whilst also playing the victim card. Occupation creates conflict. Who is the occupied here?","07",8834
"I would like to remind everyone that Gaza's population of over 2 million is over 50 children.As Israel inevitably retaliates without impunity and with the financial and political backing of its socalled allies remember that half the population is under 18.","07",9878
"One of our volunteers in the field near the Gaza border Shalom Avitan was handed a baby whose parents are missing. Shalom's task now is to take care of this baby until the parents or family members can be found. Just one of the many heartbreaking stories. IsraelUnderAttack","07",12320
"There is no way to cut electricity to 2.2 million people in Gaza in a manner that 'complies with international law' or 'preserves humanitarian needs.' This would be a crime of unseen proportions.","07",13195
"BIG BREAKING NEWS  Israel halts supply of electricity to the Gaza Strip. Complete darkness in Gaza now. Israel is preparing for biggest ever action tonight. Only God knows what will happen tonight. Many countries across the world have allowed Israel to defend itself with","07",16329
"Tommy Robinson spent a week in Palestinian held Gaza. Hamas is ISIS. The Palestine Authority is oppressing people. If you are gay you are murdered  he stands with the people of Israel.","07",12417
"The woman whose body was seen on video in the back of a truck driven by Palestinian terrorists to Gaza has been identified. 30 yr old Shani Louk was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence. Israel Hamas","07",10932
"Hamas to my great regret is Israels creation. These are the words of Avner Cohen a former Israeli religious affairs official who worked in Gaza for decades. As you watch the death and destruction that is currently unfolding in Israel and Palestine it's important for you","07",9759
"Americans cry gallons of tears for Uyghurs while supporting eradication of Palestine deprivation of basic human rights of Palestinians and cruel bombing of Gaza. Then they say Hamas attack is unprovokedsame word used for Ukraine. Giant bubble of lies  hypocrisy.","07",9817
"You should be horrified by the attack on Israeli civilians and condemn it as war crimes. You should be horrified by a brutal occupation that commits daily crimes against humanity in Gaza. This is all connected. Your empathy and compassion should be able to acknowledge all of it.","07",15633
"Insane Footage showing 100s of Rockets being launched by Hamas in the Gaza Strip towards Tel Aviv.","07",10422
"Violence is never the answer. I condemn Hamas for targeting civilians the brutal Israeli military response the illegal occupation of Palestine  renew push for just political settlement","07",15677
"For the last few years  Israel has been bombing Gaza  Israel has been bombing Syria  Israel has been kidnapping Palestinians. But now that Israel is attacked we are at war? Only NOW people outraged?","07",9228
"The Israeli government can't keep two million trapped in an open air prison in Gaza and not expect resistance.","07",12204
"More than 50 Israeli mothers babies man were kidnapped by Hamas today from Israel and brutally taken into the Gaza Strip. This could be your mother","07",7556
"My heart aches! Kids in Gaza Harass and bully and terrorize a Jewish child that was kidnapped by the terrorist organization Hamas. My God help them from those filthy animals","07",8528
"IDF forces have hit two high rises in Gaza and say theyve taken out multiple high ranking Hamas officials.According to Israeli intelligence Hamas likes to hide their bases in the heart of civilian populations. The concern now is Iran and the organizations they fund will","07",13845
"UPDATE The woman whose body was seen on video in the back of a pickup truck driven by Palestinian terrorists to Gaza has been identified as 30 year old Shani Louk.She was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence.","07",9528
"The Israeli government calculated the bare minimum calories Palestinians in Gaza need to survive in order to determine how many trucks of food to let through to put the Palestinians on a diet then decided to allow significantly less food than that.","07",7022
"Followingthe escalation between Israel and Gaza Israeli forces struck theenclave's Indonesian hospital and an ambulance in front of NasserHospital in southern Gaza. The strikes killed one nurse one ambulancedriver injured several and damaged an oxygen station.","07",6349
"This is faith In the middle of war bombing firing they still performing prayers      Palestine Palestinian Israel Hamas TelAviv Gaza GazaUnderAttack OperationAlAqsaFlood","07",8334
"Israeli fighter jets destroy an 11story  100 flats building in downtown Gaza City the second biggest building in Gaza  after warning the residents to evacuate","07",8199
"Unconfirmed Reports that the Egyptian Government has informed Israel that Hezbollah has notified them through BackChannels that they will Join the War if the Israel Defense Force decides to launch a Ground Invasion of the Gaza Strip.","07",11674
"Out of the 180 taken as political hostages in Gaza more than 140 are official soldiers or police. Armed forces for an illegal occupation. Out of the 4000 Palestinian political captives Israel has most are held without trial or charge and noncombatant civilians.","07",8157
"They labeled Boycott Divestment  Sanctions terrorism. They killed hundreds and injured thousandsin Gaza's 20182019 marches. Don't fall for but not this way logic. No form of Palestinian resistance has ever been acceptable to Zionists.","07",9054
"The Israeli military giving civilians in Gaza very specific evacuation instructions. Telling them to move deeper into the strip in multiple areas. It appears Israel will soon start a heavier ground andor air response.","07",11976
"Breaking News Israel IDF forces are capturing Palestinian HamasTerrorists who massacred Israeli civilians including men woman and children. This one was taken alive for some reason. IsraelUnderAttack Gaza","07",7166
"Unless he is opening a humanitarian corridor something Israel has repeatedly refused to do in moments like this for Palestinians trapped in Gaza he is announcing genocidal intent.","07",6034
" Just Because You're an AOC Wannabe Doesn't Mean You're Obliged to Be an Airhead Trying to free 1000000 children who have been held hostage in Gaza for nearly two decades is according to Ilhan Omar senseless violence.","07",6835
"BREAKING Celebrations are taking place in Palestine Square in Tehran Iran. They are celebrating Hamas starting a war today from Gaza. Women and children were KILLED in cold blood and yet they celebrate like they just won a World Cup. These people are absolute monsters.","07",4775
"also worth noting that palestinian civilians killed directly by the IDF are just the tip of the iceberg. for example UNICEF found that water contamination has been the leading cause of child mortality in gaza ever since the blockade started. slowmotion genocide isnt hyperbole","07",7104
"BREAKING Israel Prime Minister Benjamin Netanyahu says security cabinet has approved decisions to destroy the military and governmental capabilities of Hamas and Islamic Jihad in Gaza. Israel to immediately stop supply of electricity fuel and goods to the Gaza Strip.","07",7690
"The Islamic National Bank of Gaza which is linked to and is claimed to provide Funding for Hamas has been Destroyed today by an Israeli Airstrike.","07",9329
"IDF soldiers on their way to the Gaza Strip.","07",6962
"Life is a blessing.ShaniLouk Shani was a vibrant adventurous 30yearold woman from Germany. She attended the peace music festival near the Gaza border and was brutally murdered by Hamas terrorists. Her lifeless body was paraded in the back of a vehicle in Gaza. One","07",4132
"Also if your response to Israelis being murdered bodies descrestes and women children and the elderly being taken hostage in Gaza is to wave a Palestinian flag in Toronto or London or wherever..shows the world its not about freedom its about murder terror and Jew hatred.","07",4843
"Israel withdrew from Gaza in 2005 for the promise of peace. My uncle was one of many forcibly kicked out of his home only to allow terrorists to take over. And now theyre using those same houses to rape kidnapped Israeli girls. No more broken promises.","07",4505
"Among those I met at Israels Soroka hospital was an old professor of mine from Brandeis University Ilan Troen. His daughter and her husband were killed in their home by Gaza gunmen. He says they flung themselves over their teenage son saving him.","07",3121
"Largescale celebrations have begun across the Middle East following Gaza's unprecedented attack on Israel. Yemen Iraq Turkey and Iran are among the countries reported with a significant turnout. Gaza Palestine","07",3770
"These are no words to describe the brutality that happened to this innocent woman Shani Louk today after she was kidnapped at a music festival near the Gaza border and killed with her body paraded on a truck in her underwear as Hamas militants spat on her and hit her lifeless","07",3736
"Bravo Bravo That is what hamad did to isreali soldier they had no clue what to do      Palestine Palestinian Israel Hamas TelAviv Gaza GazaUnderAttack OperationAlAqsaFlood OperationIronSwords","07",3540
"Following the Meeting tonight of theIsraeli National Security Cabinet it was decided that the IDF will soon begin an Operation that will bring forth the Destruction of the Military and Governmental Capability of Hamas in the Gaza Strip.","07",5495
"I am talking to sources in the IDF Special Forces and Mossad. The objective for the campaign into Gaza is the total destruction of Hamas while trying to avoid a refugee crisis. Unlike the past it appears that nothing will stand in the way of the IDFs objective of crushing","07",4752
"Breaking News Israel Fresh attacks are coming in to Israeli cities as Hamas launch renewed rocket attacks. IDF forces are heading to GAZA in significant numbers. Hamas Terrorists are likely to be slaughtered and the will of the Israeli people has never been stronger. The","07",2444
"These little children look into the eyes of armed Israeli soldiers and talk as if fear is their toy and death is their love!     Palestine Palestinian Israel Hamas TelAviv Gaza GazaUnderAttack OperationAlAqsaFlood","07",2047
"This is ShaniLouk An innocent 30 year old woman who was full of life and positive energy murdered by hamas as they threw her lifeless body in the back of a truck in celebration of her being murdered in Gaza. She enjoyed going to music festivals and traveling with the love","07",2841
"BREAKING Reuters reports that Israel's government decides to destroy military and governmental capabilities of Hamas and allied factions in Gaza","07",4118
"According to credible reports most of the hostages in Gaza are women and childrenthe men they have killed. There are also reports that the terrorists went house to house raping women in Sderot and are raping the Israeli women in Gaza.","07",1567
"Sound on. Earlier today on the way to the IsraelGaza border.","07",4190
"Welcome to London where terrorists are celebrated. Israel Hamas Palestine Palestinian IronDome Gaza TelAviv","07",2154
"Israeli tanks being transported to Gaza","07",3872
"The IDF has issued specific instructions for residents in 7 areas of the Gaza Strip to evacuate to predetermined points. Targeted text messages are also outgoing.","07",2838
"BREAKING Middle Eastern sources suggests that the weapons used by Hamas forces in its attacks against Israel were reportedly delivered from Ukraine. Fighting continues between the Israeli army and Hamas militants close to the Gaza Strip. Hundreds of thousands of Israelis","07",1522
"Gaza facts Gaza is ruled by Hamas which executes dissidents without trail Gaza's water and electricity is provided by Israel for free Gaza's power plant is the frequenttarget of Hamas so they can play the victim card for fools like Alex Actually 17 years of war as Hamas","07",2396
"The war against Israel is just that. There is no nuance or complication. Hamas are demon possessed terrorists who hate Jews and are simply trying to kill as many Jews as possible. The stateless Arabs in Gaza  the West Bank are descendants of refugees of an Arab war against","07",3019
"This unprecedented attack against Israel by Hamas is so completely evil. They have taken soldiers and civilians including women children and even grandmothers as hostages back into Gaza! Lets continue to pray for Israel and her people as they face their own version of 911.","07",3168
"Close up of the zionist regime airstrikes on high rise buildings in central Gaza today","07",2378
"Israeli Airstrikes moments ago on Targets in Northern Gaza.","07",2998
"Palestinian protecting Jewish civilians during the war.Will this clip be aired on Intl Media  Audience who are busy painting all Palestinians terrorists?Palestine PalestineUnderAttack   Gaza Palestine Hamas","07",1860
"Israeli Prime Minister Benjamin Netanyahu urges all the Palestinian civilians to immediately leave Gaza saying the IDF forces are going to clear every single settlement of Hamas terrorists house by house and turn into ruins all the places where terrorists could potentially","07",2290
"This is what 1 single Israeli airstrike has done to an entire neighbourhood in Gaza today A highrise building with 100 apartments wiped out just to terrorize  collectively punish a caged civilian population There's been 10s of these airstrikes today there'll be more tonight!","07",1045
"Overnight operations and raids continue in Israel and Gaza Strip to hunt down Hamas terrorists involved in terror attacks. One such Hamas terrorist picked up alive by Israeli IDF forces. Air raids continue as well inside the Gaza Strip.","07",2810
"Netanyahu tells the people of Gaza to leave. We will turn all the places that Hamas hides in and operates from into rubble. But the people of Gaza have nowhere to go. That's the problem to begin with. Gaza is an openair prison whose borders are controlled by Israel.","07",1446
"The bombing north south west and east of my house Gaza Under Attack","07",1595
"There are approx 7 million Palestinians living under Israeli rule  in Israel on West Bank  rights which  apartheid Western leaders have shown utter contempt for Palestinians for years","07",1442
"This is complete and utter nonsense shared for nothing but engagement. Israel hasn't authorised a nuclear strike on Gaza and the footage shows a US nuclear test from the 1950s.","07",2404
"It's painfully clear that  with his total support for Israel is NOT a peace candidate. His owncampaign manager  once called for Israeli leaders to be taken to the International Criminal Court for their continuous attacks on Gaza.","07",1595
"BREAKING Israel's military says combat helicopters attacked mosques used as 'operation sites' by Hamas in Gaza","07",3127
"Israeli airstrikes hit Gaza","07",2630
"AlQuds Brigades publishes scenes of the storming of a number of military sites and settlements around the Gaza Strip as part of the AlAqsa Flood battle.","07",1786
"Its likely in the coming hours we will see hundreds of Israeli F16s F15s and F35s strike targets across Gaza. There is an underlying eerie quiet punctuated by a slow beat of strikes in Gaza right now.","07",2719
"Boy this Gaza goatfuck would be a touch frightening if we didn't have such an articulate mentally composed in no way alzheimer'safflicted Archlich as Commander in Chief of the Armed Forces.","07",3580
"Israel continues to strike the Gaza Strip At the same time Hamas spokesman Abu Obeida said that the number of hostages we have is many times more than Netanyahu says. Meanwhile Hezbollah a Lebanese terrorist group allied to Iran Syria and Hamas said it was ready to","07",1707
"Israeli lawmaker from ruling party is proudly calling for a Nakba in Gaza a literal call for genocide! In the process MK Ariel Kallner admits Israel's responsibility for the 1948 Nakba where 400 Palestinian villages were wiped out  700000 Palestinians were made refugees...","07",973
"Palestinian photojournalist Mohammed Lafy killed in Gaza by israeli airstrikes  israelis are a killing machines nothing else","07",895
"Laura Loomer calls for Gaza to be flattened into a parking lot. These Zionists are bloodthirsty and will do anything to create Greater Israel. If you lived in an open prison with walls where the hell are you supposed to escape to in 48 hours?","07",1331
"Residents living within the City of Beit Hanoun in Northeastern Gaza are reporting that they have received Text Messages from the IDF telling them to Evacuate the City.","07",2341
"Airstrikes on Gaza moments ago","07",1786
"My favorite thing about the hypocrisy of war propagandists on here Is how contradictory they are 1. Ukraine is a smaller country  destroy Gaza for the threat Hamas poses LOL","07",2988
"Israeli warplanes destroy AlHabib mosque in the west of Khan Yunis city in southern Gaza GazaUnderAttack  via","07",710
"I will stand with every single Jewish person in London. Actually not just London the whole of the UK. Im sick of these twisted leftwing apologists and Palestinian sympathisers celebrating the attack on Israel. I hope Israel raze Gaza to the ground and destroy Hamas.","07",3326
"Hostages held in the town of Ofakim were released. The militants who captured the Israelis were killed. Three IDF soldiers were wounded. It is also reported that dozens of hostages held in the canteen of Kibbutz Be'eri near the border with the Gaza Strip were released. ","07",2974
"There is no mention of occupation no calls for deescalation and given the political climate in Israel its hard to see this as anything other than giving Netanyahu the green light to raze Gaza to the ground.","07",2515
"BREAKING IDF in its latest statement says Israeli Fighter jets targeted mosques in Gaza Strip where Hamas terror military infrastructure was located. Swords of Iron IDF The IDF struck two operational situation rooms used by the Hamas terrorist organization in the Gaza","07",2112
"Evidence to confirm my suspicion that Erdogan was behind Gaza strikes and attacked Syria to pin down .","07",991
"Funny how all those blaming Israel for having a closed border with terroristrun Gaza are incredibly silent about Egypts closed border with pAlEsTinE.","07",2009
"Many people have asked for a map of events in the Gaza strip area today. In this thread some main points and developments. Hamas attacked on a wide front and quickly overran Israeli border defences in multiple areas. Hamas forces advanced into multiple border towns. 1","07",1812
"This is the largest attack in Israel in 50 years. The response will be the largest response in 50 years. Blame Hamas. They knew Israel would respond in kind. They didnt care that this would get people in Gaza killed.","07",1899
"The Israeli Defense Force has Declared a Closed Military Zone throughout the entire AreaofResponsibility for the Gaza Division this Zone is Closed to the Public due to ongoing Military Operations.","07",2153
"Update At least 300 killed and 1600 wounded in todays terror attack. Over 100 Israelis kidnapped into the Gaza Strip including women children elderly people and soldiers. The biggest terror attack in Israels history.","07",927
"An Israeli child held captive by Palestinian terrorists in Gaza was being threatened and abused by Palestinian minors.","07",541
"Footage of women and children being taken hostage in Gaza","07",806
"Hamas is responsible for everything that is going to happen to Palestinians in Gaza. Hamas is responsible.","07",2311
"The woman whose body was seen on video in the back of a pickup truck driven by Palestinian terrorists to Gaza has been identified as 30 year old Shani Louk.She was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence.","07",2621
"I see that SNPs failure of a leader Humza Yousef  issues a statement worrying more about the people of Gaza he knows than condemning the Hamas attack on Israel. I do hope him being a Muslim isnt connected with his view.","07",1946
"BREAKING 'The security miniministerial council agreed to destroy the military capabilities of Hamas and Islamic Jihad'  Netanyahu JUST IN Lots of rockets from Gaza coming out now towards Israel","07",951
"one of my best friends family lives in gaza please make dua for them. my family lives a little further away from them so they arent in as much danger alhamdulliah. please keep palestinians in your thoughts. the israeli prime minister just said he was going to obliterate gaza.","07",1031
"Front page of The Mail shows the horror endured by Israelis today. Noa Argamani a 25 yearold Israeli student was kidnapped by Hamas terrorists. Dozens of other Israelis  children adults and the elderly  were similarly kidnapped and are being held in Gaza.","07",762
"A Rocket launched from the Gaza Strip achieved a Direct Hit on the Barzilai Medical Center in the City of Ashkelon although thankfully there does not appear to be any Casualties.","07",1068
"Israel bombing Gaza as expected. Nothing new they only know how to kill Palestinians. The Israeli prisoners of war are now under those Gaza bombs.","07",677
"BREAKING National Islamic Bank in AlNasr Neighbourhood in Gaza was targeted in an Israeli airstrike.","07",1206
"Israel has never ever spared civilians in Gaza. Watch UN spokesperson Chris Gunness sobbing on camera in 2014 after Israel bombed a UNRWA shelter filled with families who had fled their homes after warnings from the Israeli military to leave.","07",607
"100am October 8 2023 IL time update  Since 630am October 7 IL time there has been an incessant barrage of rockets  over 3000 and counting  fired towards Israel from the Gaza Strip. Direct hits in central and southern Israel.  Palestinian terrorists","07",665
"I suspect most people feel what I feel about events in Israel and Gaza today. Innocent people caught in spiralling violence which suits extremists on both sides. Old enough to remember Rabin and the hopes before he was assassinated","07",1116
"Hamas slaughtered women and children in their homes. For others they kidnapped them and brought them to Gaza. In Zikim right now dozens of missiles are being intercepted by the Iron Dome. Hamas is trying to overwhelm the system. And yet we have monstersincluding","07",728
"... attending a music festival to promote peace near the Gaza border ... This is what happens when people think that all you need to navigate life is a kind heart and good intentions and like some Hollywood movie the bad guys will see the virtue of your world view lay down","07",2895
"Ariel Kallner Member of the Israeli Parliament Likud and Chair of the Parliamentary Caucus on EUIsrael Relations just tweeted this Nakbba Now! One Goal Nakbba! Nakbba to overshadow the Nakbba of 48' Nakbba in Gaza and anywhere else.","07",424
"Today Israel was attacked by Hamas. This was wrong. The blockade Israel has is also wrong  be silent about the treatment of the Palestinian people. There is no military solution from Israel or","07",1383
"IDF Arabic Spox has issued multiple videos with messages to residents of Gaza asking them to leave certain areas of Gaza and move to other areas this alongside the text messages being issued.","07",722
"Israeli military is still engaged in fighting with Hamas in parts of southern Israel after brazen assault from Gaza.","07",1074
"This is the way I put it in mycolumn Hamas did not attack because of the miserable conditions in Gaza. Its leaders are motivated by religious  nationalist fanaticism. But the terrible conditions do make it easy to recruit fighters.","07",800
"Lies! The border of Gaza with Egypt is open. Gazans go on holiday to Sharm alSheikh Istanbul and Dubai! Hundreds emigrate daily. leavingGaza Hamas and cronies are wealthy and live in wealth and prosperity in Gaza on stolen aid. TheGazaYouDontSee","07",607
"she has officially lost contact with her family. It seems like the internet has officially been shut off in preparations for the mass destruction. please god keep the people of gaza safe I am feeling so sick tonight.","07",1090
