id_of_tweet,cleaned_text,sentiment
44,Some news anchors have been parroting a preposterous line handfed to them by Hamas terrorists that the release of the two hostages was humanitarian. It wasnt. It was strategic. Thats why they released only Americans. No babies were released. It was intended to delay Israel,1
45,Noyas body was found along with her grandmother. Hamas terrorists slaughtered Noya in front of her grandmother and murdered her grandma too. You can imagine why it took so long to identify them I was so hoping for a different ending to this tragic story.,1
46,Am feeling pure rage at what is being allowed to happen on the streets of London. 100000 people marching because they think Hamas didn't go far enough. 100000 people who want rid of me and my fellow Jews. And don't give me that bullshit about a peaceful march for Palestine.,1
47,Meet Michal Elon. The mother of 10 works as a pediatric oncology nurse. On Oct 7 she and her family were at Zikim army base to be with soldiers during the Jewish holiday of Sukkot. Early in the morning sirens sounded and with horror Michal and her husband realized that Hamas,1
48,Outside the Tel Aviv museum a Shabbat table is set for 203 hostages kidnapped by Hamas to Gaza. Please watch the full length of the video and try to imagine the whole world behind each one of those empty seats.,1
49,More innocent people in Gaza killed by a misfired Hamas rocket. This time on an UNRWA school. Since the beginning of Swords of Iron over 7100 rockets have been launched at Israel. Approximately 610 fall short within Gaza. When they fall in Gaza there is no early warning,1
50,Shlomo Ron Shlomo gave his life to save his family. When Hamas invaded Kibbutz Nahal Oz the 85yearold sent his wife daughters and grandson into the saferoom. He believed that if the terrorists would see the lonely old man alone they'd murder him and move on sparring,1
51,BIG BREAKING NEWS Germany's interior minister Nancy Faeser announces that those backing Hamas will be deported from the country She asks citizens to inform authorities if they see any ongoing propaganda supporting Hamas. Germany to launch MASSIVE crackdown She also,1
52,12yearold Ariel Zohar is the only member of his family to survive the Hamas slaughter. The anguished boy buried his parents and two sisters earlier this week. Ariel was only spared because he had gone out on an earlymorning run.,1
53,There are 200 people as young as 9 months and as old as 95 years being held hostage by Hamas terrorists. Their families have endured two tortuous weeks not knowing if their loved ones are among the living or among the dead. Raise your voice. Share this message. Tell their,1
54,Miami dentist 31 FIRED just hours after being caught tearing down posts of Israelis kidnapped or killed by Hamas.. 'Instagram model' Xave Ramoul and Ahmed Elkoussa a 31yearold dentist were caught on camera ripping down posters of Israeli hostages in the Brickell,1
55,We cannot let petty partisan angry politics get in the way of our responsibilities as a nation. We cannotand will notlet terrorists like Hamas and tyrants like Putin win. I refuse to let that happen.,1
56,Young Israeli girls screams please help me but is quickly shot dead by Hamas terrorists. Her death is not visible in the video,1
57,Raz is 5. Aviv is 2. Both little girls are being held captive by Hamas in Gaza. Raz and Aviv have been away from home two weeks now. Enough is enough. Add your voice. Demand their return. BringThemBack,1
58,Today on Oct 18th 2023 we witnessed the most horrific tragic event in our nations history An insurrection of the Capitol. Hamas tried to overthrow our government.,1
59,A Muslim hero of Israel This is Ashraf a Bedouin IDF commander who fought against Hamas terrorists who tried to capture his base. It happened to be visitors day on base so he and his soldiers saved countless lives. Here they are thanking him.,1
60,Over 100 HamasISIS targets were eliminated last night including numerous HamasISIS terrorists.,1
61,Warning Intelligence sources tell us that Hamas is working on a fabricated video to hide the misfiring of an Islamic Jihad rocket on a hospital in Gaza and falsely accuse Israel of doing so. Remember that this is a terrorist organization the same organization that runs the,1
62,Israel has the ability to kill everyone in Gaza but hasn't because they don't want to kill civilians Hamas wants to kill everyone in Israel but hasn't because they don't have the ability to kill as many civilians as they want to See the difference?,1
63,NEW Rep. Rashida Tlaib starts 'crying' in front of a crowd after accusing Israel of bombing the hospital in Gaza. The outburst from Tlaib was much different than her 'response' when she was asked by a reporter about the people who Hamas brutally killed in Israel. Instead of,1
64,In a destroyed home in a community attacked by Hamas terrorists a soldier sings the Israeli anthem. Hamas will not ruin our spirits.,1
65,Students atgiggle and laugh as they give the middle finger to a screen showing the babies that Hamas terrorists took hostage,1
66,London School of Economics a young woman is filmed tearing down posters of missing Israeli children kidnapped by Hamas terrorists into Gaza. When asked why she's destroying them she answers there is no proof women were raped.,1
67,Video 1 Two female Hamas terrorists waving guns. Video 2 The same women pretending to be victims of a bombing while dressed as civilians for the cameras.,1
68,BREAKING Hamas Sends a Video Message to Israeli Forces Stating This is what awaits you when you enter Gaza. Source Hamas Official Website,0
69,Hamas was funded armed trained in part by Russia. By Putin. If we don't act this will start happening all over the world. The solution has been staring us in the face the elusive obvious Arm Ukraine. Kremlin regime will collapse. Putin will be gone.,0
70,Foreign students academics and workers who commit antiSemitic acts or praise Hamas will be expelled from the UK according to new plans being drawn up by the Home Office.,1
71,Israeli forces using a bulldozer to destroy a pizza restaurant in the West Bank that had used its social media account to mock an elderly Holocaust survivor taken hostage by Hamas,0
72,How did Hamas get an M4 with an ACOG optic?,0
73,At a Palestine rally at radical left students threaten a man who they perceive to be an Israel supporter. Campus police lead the man away apparently for his own safety. The leftist rally was promoted with a flyer featuring a Hamas terrorist.,1
74,NEW The scene at Columbia University in New York City where the school has been overrun by proPalestine protesters. Just a few days ago Hamas terrorists murdered innocent Israeli men women and children. In response to the barbaric attacks college campuses have been overrun,1
75,BREAKING Switzerland launches investigation into Hamas financing,0
76,Channel 4 News in the UK suggesting based on their reporting that the Israeli audio of the alleged Hamas guys talking about the attack is a fake. So many claims and counterclaims in this conflict.,0
77,New A handful of influential but unreliable breaking news accounts many promoted by Elon Musk are dominating the flow of news on Twitter around the IsraelHamas war and easily outpacing established mainstream news outlets according to new research.,0
78,BREAKING US Secretary of Defense says 'Hamas is not the Palestinian people' and that he 'does not think the people should pay the price'.,0
79,Lessons from Hamas attack on Israel The fake Genocide of Muslims narrative in India will be used to justify Genocide of Hindus as language of oppressed My article today.,0
80,Hamas issued a statement right after Israel told Gazans to evacuate south saying it's nothing but a strategy of Israeli psychological warfare. Guess what The Palestinians who fled south were deliberately targeted in airstrikes. Hamas was right.,-1
81,They're saying Hamas targets but they're showing you entire city blocks reduced to rubble where 500 Palestinian children have been killed. This is terrorism. The Israeli military's terrorism is the greatest killer of children in all of Palestine Israel combined.,-1
82,Israeli Intelligence Suddenly Knows Exactly Where Hamas Is Its interesting how last week Israel had no idea what Hamas was up to and yet this week they know every mosque school and hospital that Hamas is hiding in. When you live under an empire of lies youll be asked to,-1
83,How do you starve two million people and still get mainstream media to portray you as a victim? We keep hearing Hamas are this and thatwhat does that make Israel? Blockading and bombing 2 million people? Israel is a nasty bully and the media are complete garbage.,-1
84,As the Israeli military wipes entire Palestinian families off of the public record the Israeli regime is working tirelessly to equate Hamas to ISIS to justify genocide in peoples sick heads. This is the Iraq War all over again. The media has the bloodiest hands in all of this.,-1
85,want to remind yall that gaza is 50 children. the civilians are mostly children. they are committing war crimes against children. also there is no military in gaza. most of the people in gaza have nothing to do with hamas. they are manipulating you into supporting genocide.,-1
86,Israel claims to be fighting Hamas but they have already Killed 10 journalists Killed 2000 people in Gaza many were women children Ordered people to evacuate to South Gaza then slaughtered them War crimes on all sides should be condemned.,-1
87,While the world's attention is drawn to the unfolding disaster in Gaza Israeli settlers are taking advantage by entering villages and expelling and even killing Palestinian civilians. The world should be ashamed. Hamas not to blame here.,-1
88,That audio recording of Hamas operatives supposedly saying it was a misfired rocket from Islamic Jihad? The Israeli state faked it.,-1
89,BREAKING ABC News reports that Israel's Economy Minister says hostages and civilian casualties will be secondary to the priority of destroying Hamas adding that its tunnel network will become the 'worlds biggest cemetery'.,-1
90,This level of bombardment is insane by any standard! Israel is now flattening Tal AlHawa one of Gaza's affluent areas with most highrise residential buildings completely.,-1
91,Hamas military wing We informed the Qataris yesterday evening that we would release the following Israeli civilian captives Nurit Yitzhak ID. 001145416 Yocheved Lifshitz ID. 005236955 for compelling humanitarian reasons and for nothing in return. Israeli gov refused,-1
92,Britains Channel 4 News DEBUNKS ISRAELs fake claim that Hamas bombed the Gaza Baptist Hospital. Someone is going to lose their job for telling this dark truth!,-1
93,Have you ever heard of Hamas or Hezbollah asking YouTube and Facebook to remove videos they don't like? Israel are so insecure and aware that their own behavior is criminal that they censor journalists and critics all over the world and then pretend they're a democracy. Lmao,-1
94,Israel is now claiming that the Hamas missile that blew up the Gaza Hospital was fired from two separate locations. It cant be both so which one is it? you are terrible at lying! We all know you did this.,-1
95,The alleged Hamas intercepted call that Israel realeased as evidence that Hamas BOMBED the Gaza Hospital was EDITED EFFECTS were added the call was DIVIDED on two separate channels meaning it was not intercepted. Another FAKE from Israel!,-1
96,A friend noticed the audio recording that Israeli forces claim to be Hamas operatives is recorded in stereo. Speakers on L and R channels. There is no way audio conversations are recorded in stereo anywhere. Their unit took the audio stream and fucked with it,-1
97,Israel BOMBS civilian building in Gaza! I thought they were just fighting Hamas? Followsource,-1
98,The difference There is no way Hamas rocket can destroy a hospital Everybody knows it was done by Israel but they keep lying to themselves Israel is the real terrorist,-1
