"","X","id_of_tweet","cleaned_text","batch","sentiment","error","created_at","total_interactions_count","keyword_israel","keyword_gaza","keyword_palestine","keyword_hamas","keyword_conflict"
"58",58,2164,"israel should end the illegal occupation of palestine immediately and return the lands forcefully seized from palestinians. israel should recognize palestine as an independent state with east jerusalem as its capital within 1967 borders and allow the immediate return of refugees.",1,-1,"",7,24454,1,0,1,0,0
"59",59,2172,"celtic fans show their support to palestine with two banners.",1,-1,"",7,49750,0,0,1,0,0
"60",60,2186,"the story of palestine a mustwatch!",1,-1,"",7,14716,0,0,1,0,0
"61",61,2195,"former pm of pakistan imran khan stance on isreal. there has to be a settlement for palestinians. hamas israel gaza palestine",1,0,"",7,10438,1,1,1,1,0
"62",62,2217,"israel forced 5 vaccines in everyones arm. forced. rather live in palestine and own my blood. allah akbar.",1,-1,"",7,29143,1,0,1,0,0
"63",63,2220,"get ready for the twitter trend pray for palestine israelis military reinforcements near the gaza strip. hamas terrorists are going to be annihilated.",1,1,"",7,15325,1,1,1,1,0
"64",64,2247,"spaces again becoming the main source of news for world on the current ongoing israelpalestine war people on the ground in both gaza and israel sharing our stage sharing breaking news from the ground and informing the world with facts. all while the dying media",1,0,"",7,11637,1,1,1,0,0
"65",65,2388,"seems like some people out there need to know hamas is not the people of palestine.",1,0,"",7,2052,0,0,1,1,0
"66",66,2402,"tel aviv one of the biggest cities of israel has been hit by hamas rocket fire. while israel 'roof knocks'  target these terrorist",1,1,"",7,1490,1,0,0,1,0
"67",67,2425,"flashback trump shared classified intelligence from israel with russia  and admitted to it. israeli intelligence feared it would end up in the hands of iran.",1,-1,"",8,35754,1,0,0,0,0
"68",68,2427,"this isnt hard to follow trump gave military intel to the russians. the russians who are extremely close allies with iran gave it to iran. iran gave that information to hamas. hamas used it to attack israel. this is why it intel security matters. republicans do not care.",1,1,"",8,42994,1,0,0,1,0
"69",69,2444,"she wasn't murdered raped or abused. footage showed her moments later safe in gaza. she was taken captive as a bargaining chip to free 1000s palestinians whom israel detains without charges evidence or trial aka administrative detention. both violate int. law!",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,38486,1,1,0,0,0
"70",70,2485,"no leader from i.n.d.i. alliance has condemned hamas terrorist attacks on israel. whereas pm modi was first to condemn the hamas attack on innocent israeli citizens. choose your leader wisely",1,1,"",8,30506,1,0,0,1,0
"71",71,2530,"i respected you when you showed up to help feeding fellow citizens in the middle of the pandemic. i respected your politics even when i didnt agree with you. but is shameful that you blamefor an attack on israel! did you blamed bush for 911? be a statesman! be a good",1,1,"",8,42154,1,0,0,0,0
"72",72,2552,"i spoke withto affirm ukraines solidarity with israel which suffers from a brazen largescale attack and to express condolences for the multiple victims. the prime minister informed me of the current situation and the actions of israels defense forces and law",1,1,"",8,38044,1,0,0,0,0
"73",73,2558,"look at this washington post headline. how about hamas terrorists murder kidnap hundreds of innocents in unprovoked attack israel acknowledges its war",1,1,"",8,27650,1,0,0,1,0
"74",74,2609,"big us weapons left behind in afghanistan used to attack israel. a highranking israel defense forces idf commander said us weapons left in afghanistan by the biden administration were found in the hands of palestinian groups active in the gaza strip",1,1,"",8,12979,1,1,0,0,0
"75",75,2621,"before you go to bed tonight think about all the video and news coverage of israel you saw today then reflect and think about all the video and news coverage of ukraine you have seen over the last 18 months",1,0,"",8,15018,1,0,0,0,0
"76",76,2657,"the recent happenings in the israelpalestine conflict have confirmed that the first casualty in war is truth. the israelpalestine conflict has been on for decades. and if you are trying to understand the origin of the whole conflict this thread is for you.",1,0,"",8,8050,1,0,1,0,1
"77",77,2669,"im danishgreek. my religion is greek orthodox. my skin is caucasian. i have friends with all skin colors who are christians jews and muslims. im not affiliated with ukraine russia palestine israel or any other foreing nation. i just want the wars to end. i stand",1,0,"",8,23120,1,0,1,0,0
"78",78,2675,"when i think about the palestineisrael conflict it always reminds me of the malcolm x quote if you're not careful the newspapers will have you hating the people who are being oppressed and loving the people who are doing the oppressing.",1,-1,"",8,9609,1,0,1,0,1
"79",79,2711,"dsa is steadfast in expressing our solidarity with palestine. todays events are a direct result of israels apartheid regimea regime that receives billions in funding from the united states. end the violence. end the occupation. free palestine.15",1,-1,"",8,16330,1,0,1,0,0
"80",80,2727,"a leaked email sent byto all their journalists has urged them to not refer to hamas as terrorists. this directive further validates our concerns about cbc's bias against israel  slanted coverage of the israelipalestinian conflict.",1,1,"",8,4431,1,0,0,1,1
"81",81,2753,"shocking news egyptian policeman kills two israeli tourists in alexandria  shoots even an egyptian who was trying to save them. this is also shocking because egypt made peace with israel decades ago and has long served as a mediator in the israelipalestinian conflict. where",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,3567,1,0,0,0,1
"82",82,2775,"the problem with liberal takes like this is that it produces an abstracted morality. it reduces two very different and unequal people to generic abstract categories in conflict. it erases the material inequalities between them. it erases the violence of occupation.",1,-1,"",8,2181,0,0,0,0,1
"83",83,2827,"ofer cassif a marxist antizionist member of israeli knesset from the hadash coalition on the reasons for the new israelgaza war saying that the pogroms against the palestinians were the spark for the conflict.",1,-1,"",8,1320,1,1,0,0,1
"84",84,2836,"the conflict in israel is a result of the natural conclusion of a twostate solution as a project not a failure of it. you are watching the twostate solution precisely as it was meant to function",1,0,"",8,3730,1,0,0,0,1
"85",85,2857,"for my entire career i have avoided posting or speaking out about israel and the conflict but the idea that people who claim to be progressive would rally for murderous fundamentalist terrorism and create space for violence against jews is morally abhorrent.am yisrael chai.",1,1,"",8,1548,1,0,0,0,1
"86",86,2861,"the root of the conflict namely the occupation of the palestinian territories by israel must be resolved in accordance with the parameters agreed upon by the un.",1,0,"",8,611,1,0,0,0,1
"87",87,2871,"for children and youth living in conflictaffected areas education is a lifeline. we must protecteducationfromattack and guarantee the righttoeducation for all!",1,0,"",8,559,0,0,0,0,1
"88",88,2885,"from telegram...iraqi groups also supported palestine and announced entry into conflict with israel.",1,-1,"",8,670,1,0,1,0,1
"89",89,2899,"breaking newsthe president of israel called for the formation of an emergency government amid conflict with hamas israel hamasattack israelunderattack palestine",1,0,"",8,212,1,0,1,1,1
"90",90,2910,"as the world has its eyes on the israelgaza conflict  the turkish regime under erdogan uses this opportunity to escalate the attacks on rojava footage of turkish artillery strikes hitting the city center of ain issa city.",1,0,"",8,320,1,1,0,0,1
"91",91,2927,"congress  war stock  conflict of interest",1,0,"",8,678,0,0,0,0,1
"92",92,2954,"as an interim speaker patrick mchenry is effectively powerless on the israelhamas conflictand can only act on matters that relate to the election of a new speaker.",1,0,"",8,278,1,0,0,1,1
"93",93,2957,"the world has witnessed the barbarism of hamas. the world stands with israel for now. but how long will it take before israel's friends tell it to back down be proportionate  politicians will speak of two sides to the conflict",1,1,"",8,302,1,0,0,1,1
"94",94,2960,"6even the gravest violations of the laws of war by the opposing party in a conflict do not justify the violation of those same laws. israel has obligations toward gaza residents including in times of active hostilities  even after the horrors visited on communities in the south",1,-1,"",8,415,1,1,0,0,1
"95",95,2964,"the way you cant even get real time updates or direct on ground report for the ongoing conflict just shows you how much twitter has changed. before youd be seeing tweets directly from source all over your tl.",1,0,"",8,190,0,0,0,0,1
"96",96,2984,"you are all genuinely sick in the head if you think female idfisraeli women suffers the way the average palestinian women does it shows how you are all so removed from this conflict",1,-1,"",8,417,1,0,0,0,1
"97",97,2993,"the middle east has been a region of conflict for centuries and during most of that time israel and the jews had nothing to do with it. says rami dabbas a jordanian political analyst specializing in middle eastern affairs and human rights.",1,1,"",8,552,1,0,0,0,1
"98",98,2998,"brief history of the israelpalestine conflict. late 19th century  the zionist movement advocating for a jewish homeland in palestine gains momentum. balfour declaration 1917  the british government issues the balfour declaration expressing support for a national home",1,0,"",8,218,1,0,1,0,1
"99",99,3018,"this is the only tweet tara strong voice actor of all those characters you probably like hid under her tweet thats trying to position as neutral on the conflict and sad about civ deaths. get her ass.",1,0,"",8,325,0,0,0,0,1
"100",100,3027,"hamas ministry of health for gaza announce 413 killed and 2300 injured due to the on going conflict.",1,0,"",8,198,0,1,0,1,1
"101",101,3051,"escalation of conflict between israeli forces and hamas results in nearly 1000 casualties the ongoing conflict between israeli forces and hamas has escalated significantly with the death toll nearing 1000.",1,0,"",8,103,1,0,0,1,1
"102",102,3079,"footage from the music festival in reim just minutes before hamas massacred over 250 attendees and kidnapped hundreds of others into gaza.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,3520,0,1,0,1,0
"103",103,3149,"israeli mom and two little girls among hamas hostages the terrorists are in the house",1,1,"",8,347,1,0,0,1,0
"104",104,3156,"this! our abraham accords partner and friend the uae condemns hamas and says is appalled by reports that israeli civilians have been abducted as hostages from their homes.",1,1,"",8,553,1,0,0,1,0
"105",105,3163,"no evidence is good enough for biden co will continue their engagement with iran.",1,1,"",8,414,0,0,0,0,0
"106",106,3170,"the overwhelming majority of palestinians support hamas  the other 8 palestinian organizations that youre unable to name bc youre triggered that people resisting settler colonialism.",1,-1,"",8,971,0,0,0,1,0
"107",107,3199,"its going to happen sooner vs later because our border has fully been opened for nearly 3 years. by the looks of the propalestine hamas folks infiltrating in our country today id say an attack is closing in. be aware of your surroundings america. fjb",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,138,0,0,1,1,0
"108",108,3218,"the aftermath of the massacre of the music festival in southern israel where hamas carried out a barbaric attack that killed 260 civilians many of which were foreigners.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,94,1,0,0,1,0
"109",109,3273,"former cia dir. john brennan surprise hamas attack raises questions about whether israel intelligence may have been compromised threat of conflict spiraling out of control into wider regional war is escalating with retaliatory attacks by both sides",1,0,"",8,53,1,0,0,1,1
"110",110,3287,"blinken every action by hamas making it worse for palestinians israelis",1,0,"",8,72,1,0,0,1,0
"111",111,3297,"we have no friends over there so to speak  yevgeny poddubny you have one that likes to arm you and hamas.",1,1,"",8,73,0,0,0,1,0
"112",112,3319,"breaking photos capture the moment an israeli air strike destroys rabat university college in gaza city. one more war crime in a long series.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,32464,1,1,0,0,0
"113",113,3322,"strategically killing civilians in gaza who arent hamas wont hurt hamas itll help them in the longrun. morally killing civilians in gaza as part of an overwhelming show of force isnt moral. its immoral.",1,-1,"",8,43623,0,1,0,1,0
"114",114,3338,"shit is now getting serious. gaza may not be on the world map in coming months.",1,-1,"",8,30092,0,1,0,0,0
"115",115,3357,"these are the faces of just a few of the israelis kidnapped and held by hamas in gaza. they took mothers with babies in their arms. it is an evil savagery that has no words. hamas is believed to be holding over than 100 israelis  children teens entire families and even the",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,11487,1,1,0,1,0
"116",116,3384,"the uk government literally flag waving for an aparethied regime indiscriminately bombing a heavily civilian populated area. doesn't get much lower than that. uk israel gaza",1,-1,"",8,7949,1,1,0,0,0
"117",117,3422,"massive rally for palestine in nyc",1,-1,"",8,24081,0,0,1,0,0
"118",118,3460,"a rally in support of palestinians in manchester uk. israel palestine gaza hamas",1,-1,"",8,7721,1,1,1,1,0
"119",119,3476,"reminder that you most likely dont understand what is actually happening in palestine no matter who you are. sorry not sorrybut most of the people especially westerners have the most basic and surface knowledge of the situation.",1,0,"",8,11573,0,0,1,0,0
"120",120,3523,"what a wretched thing it is to burry your infant  gaza palestine.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,2021,0,1,1,0,0
"121",121,3551,"may allah protect our children. and all of palestine",1,-1,"",8,2893,0,0,1,0,0
"122",122,3558,"times square nyc. chants of from the river to the sea palestine will be free! ring out.",1,-1,"",8,1637,0,0,1,0,0
"123",123,3562,"my statement on the last 36 hours across israel and palestine",1,0,"",8,3466,1,0,1,0,0
"124",124,3586,"its okay to not have an opinion mmm no i absolutely need to know if someone has crazy opinions about palestine",1,0,"",8,3401,0,0,1,0,0
"125",125,3619,"holy shit. the prime minister of israel is tweeting out footage of his country bombing gaza and killing civilians.",1,-1,"",9,65661,1,1,0,0,0
"126",126,3669,"palestine is claiming that land of israel just because they were there few decades back and hence there should no jews exist there. with that logic if we move back some more years back islam didnt exist. and land of todays pakistan bangladesh afghanistan etc. were part",1,1,"",9,25124,1,0,1,0,0
"127",127,3686,"dear israelis we know this is the darkest of times. we know there is no way to describe the pain our nation is feeling. we are with you. we are in awe of your strength and resilience. we will persevere",1,1,"",9,37922,1,0,0,0,0
"128",128,3727,"this is dana abuqamar a law student at the university of manchester joy for what has happened in israel. university of manchester it's a criminal offence to praise a proscribed organisation like hamas.",1,1,"",9,13161,1,0,0,1,0
"129",129,3731,"journalist moataz mashal breaking down while covering the relentless bombardment of gaza. israel deliberately targets and kills journalist in a decade old documented pattern by",1,-1,"",9,13082,1,1,0,0,0
"130",130,3746,"raining in palestine shortly after israel cutting of their water supply they plan and allah swt plans and after all he is the best of all planners subhanallah may the people of palestine find peace and liberation!",1,-1,"",9,17621,1,0,1,0,0
"131",131,3775,"big breaking news  economic boycott of palestine begins european union germany austria suspend all aid to palestinians from immediate effect. israel destroyed national islamic bank of gaza in airstriks. us b52 bomber has landed in israel for special operation tonight",1,0,"",9,22116,1,1,1,0,0
"132",132,3777,"if there is an enduring image of how israel so completely embodies the most obscene elements of settler colonialism it is young carefree israelis holding a rave on the edge of an openair prison encaging 2 million palestinians. the western media presents hamas' attack on",1,-1,"",9,13741,1,0,0,1,0
"133",133,3785,"in my 15 years on twitter ive never been trolled as much as ive been in the last 30 hours! almost all the trolls are indians expressing their obviously fake outrage over my post about the gazaisrael war. indians are more zionist than zionists themselves.",1,-1,"",9,22499,1,1,0,0,0
"134",134,3796,"new footage of the massacre of partygoers in southern israel by hamas has emerged that shows the attack from the very start with police shutting down the music and urging people to leave. civilians can be seen taking cover and tending to numerous injuries as gunfire rings out.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,12883,1,0,0,1,0
"135",135,3867,"let me remind those screaming blue murder when any comparison is made between south african apartheid with israel's that nelson mandela was never in doubt that palestinians lived under apartheid. or that israel was openly the best ally of the white supremacists in pretoria",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,9931,1,0,0,0,0
"136",136,3876,"breaking hamas threatens to execute a new israeli hostage every time israel strikes a civilian residence",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,17787,1,0,0,1,0
"137",137,3919,"in conflict civilians always pay the highest price. war is not the answer. we need peace.",1,0,"",9,29320,0,0,0,0,1
"138",138,3933,"iran's goal is to draw the us into a broader conflict senior intelligence source tells me.",1,0,"",9,8472,0,0,0,0,1
"139",139,3934,"the history of how israel was created after world war 2. this is the beginning of the conflict with palestine israel gaza   hamas istandwithisraelisraelpalestinewar lebanon  the isreal palestine conflict gaza iran",1,0,"",9,5495,1,1,1,1,1
"140",140,3947,"the term a lid appears to have meant something very different in the trump administration. perhaps stephen miller reveals too much when he suggests it means the president is napping? joe biden is almost certainly in the situation room  otherwise staying on top of the conflict.",1,0,"",9,6058,0,0,0,0,1
"141",141,4000,"breaking 9 us citizens killed by hamas terrorists in israel terror attacks over the weekend. a national security council spokesperson on monday confirmed in a statement that nine us citizens are among those who have died in israel's conflict with hamas. at this time we can",1,1,"",9,1664,1,0,0,1,1
"142",142,4019,"trumpwhen i was your president we had peace through strength and now we have weakness conflict and chaos neverforget biden gave 6 billion for a swap deal to iran while president trump brought 58 hostages home from many different countries including north korea and",1,0,"",9,747,0,0,0,0,1
"143",143,4080,"watch  israelpalestine conflict  when asked if israel will take the matter to the international tribunal in hague or any other international organisational israeli ministry of foreign affairs spokesperson lior haiat says ...i don't think there is any court in the world",1,0,"",9,1141,1,0,1,0,1
"144",144,4081,"the palestineisrael conflict is in essence a religious war between the indigenous arab muslim people for over a millennia versus european zionist jews who have been violently settling and brutally colonising palestine since the 1920s. the palestineisrael conflict is in",1,-1,"",9,999,1,0,1,0,1
"145",145,4160,"im just confused how were focusing on condemning violence coming from one side when the more i learn about this conflict it seems like israel has been the true terror for generations?",1,-1,"",9,710,1,0,0,0,1
