"","filename","error","sentiment","id_of_tweet","cleaned_text.x","batch","created_at","total_interactions_count"
"43","10691.rds","content_filter",NA,10691,"NETANYAHU SHOULD BE TAKEN TO AN INTERNATIONAL CRIMINAL COURT FOR WAR CRIMES ACCORDING TO SPAINS MINISTER OF SOCIAL RIGHTS She said Given the attempted genocide being carried out by the State of Israel in Gaza we propose that the Government of Spain take Netanyahu before the",1,15,64825
"44","10713.rds","content_filter",NA,10713,"This is Shaima Saidam killed today with family members in Gaza by Israel. Months ago Shaima scored 99.6 in the 12th grade exam the 1st in Here she said that she worked really hard for her achievement. Behind the 2670 martyrs are people with stolen lives  futures!",1,15,26631
"45","10719.rds","content_filter",NA,10719,"According to CBS A 71yearold American in Illinois stabbed his 32yearold female neighbor and her 6yearold son several times wounding the mother and killing the child. Investigators say that the offender was pushed to commit his crime by Israel's propaganda aboutMuslims",1,15,21289
"46","10723.rds","","1",10723,"Let me say this in the clearest possible terms. If youre concerned with Israels response if youre focused on the people of Gaza right now youre either ignorant or intentionally hypocritical. 2005 Israel handed Gaza over on a silver platter. No occupation no Israeli",1,15,29317
"47","10757.rds","","1",10757,"Brazil stands with Israel  God bless Brazil. Together we shall defeat evil. Via",1,15,30153
"48","10791.rds","","-1",10791,"False! This footage from 2020 shows Hamas members digging up ABANDONED water pipes in evacuated Israeli settlements in Gaza there used to be 21 Israeli settlements in Gaza until 2005. Israel shut down Gaza's water supply completely on Monday! Stop justifying war crimes!",1,15,13908
"49","10809.rds","","-1",10809,"Israel is misleading the media by claiming to have turned on the water in Gaza. Crucially that does not mean Palestinians in Gaza have access. Israel cut off electricity which is needed to operate water pumps. It has also bombed many of the pipes that supply them water.",1,15,9086
"50","10850.rds","content_filter",NA,10850,"The destruction of Israel is not Hamass final destination Listen to this brave former Hamas member speak on CNN above the death cult he escaped",1,15,6122
"51","10854.rds","content_filter",NA,10854,"It's Not The 'IsraelHamas War' It's The IsraelGaza Massacre This is not a war its an enclosed shooting range with military explosives and human targets.",1,15,6632
"52","10855.rds","","-1",10855,"It was proven that the Israeli army used 155caliber artillery ammunition containing internationally banned white phosphorus on GazaGenocide INDvsPAK Referendum2023 Israel",1,15,3759
"53","10856.rds","","-1",10856,"You your govt your party  loss of Palestinian life. Who created the humanitarian situation? Who impeded access to aid?",1,15,7614
"54","10900.rds","content_filter",NA,10900,"A 6 year old Palestinian boy was stabbed 26 times to death. His mother is in critical condition. Detectives said that they was targeted due to the fact they were Muslim and the ongoing Middle Eastern conflict involving Hamas and Israel",1,15,1384
"55","10904.rds","","0",10904,"Trudeau has lost any little remaining moral high ground he holds if he doesn't denounce a Taliban flag being waved on Canadian streets. It's a rhetorical comment folks.Trudeau doesn't have a moral compas and he doesn't give a shit about the conflict in the middle east.It",1,15,1753
"56","10944.rds","","0",10944,"US National Security Advisoron rights of refugees from Gaza When people leave their homes in conflict leave their houses in conflict they deserve the right to return to those homesto those houses. And this situation is no different.",1,15,1114
"57","10952.rds","","1",10952,"Respectfully the essential truth of the Middle East conflict remains that there will never be peace until the Palestinians abandon their official policy of Israels complete destruction and acknowledge Israels right to exist. There is no other way.",1,15,1084
"58","10957.rds","","0",10957,"The report gave the most detailed picture yet of human rights violation  areas in nearby region.Justice4TigrayGenocide UpholdThePretoriaAgreement",1,15,129
"59","10969.rds","","-1",10969,"Six year old boy killed and his mum injured in attack by their 71year old landlord inIllinois who according to the Sheriff's office was motivated by their 'being Muslim and the ongoing Middle Eastern conflict involving Hamas and the Israelis'. Islamophobia GazaGenocide",1,15,304
"60","10975.rds","","-1",10975,"There are huge questions regarding the start of this conflict.Who organized 800 Jews to enter the Al Aqsa Mosque which is strictly forbidden?Whoever did that knew Hamas would respond.How and why did the intel and security fail on the most technologically sophisticated and",1,15,395
"61","11003.rds","","0",11003,"People are just now discovering Neil Druckmann is Israeli myself included and that The Last of Us is not so secretly based on the IsraelPalestine conflict. Which uhhh yeah a lot of people not happy about these revelations.",1,15,648
"62","11013.rds","","0",11013,"Most Americans know nothing about our own countrys very active role in the IsraelPalestine conflict. Heres a primer I wrote in 2014 still correct in its essentials",1,15,189
"63","11022.rds","","-1",11022,"VERY strange Biblical Story about how ISRAEL got its name Most people don't understand that Israel is synonymous with DECEPTION and struggle and battle and conflict. According to the story the descendants of Jacob have lying cheating and stealing embedded in",1,15,229
"64","11025.rds","","0",11025,"BREAKING Sudanese army and the Ukrainian army had a shootout because of the PalestineIsrael conflict.  10 casualties for the Sudanese army 8 casualties in the Ukrainian army  Reminder previously we had an announcement that the Ukrainian military is operating",1,15,164
"65","11039.rds","","-1",11039,"Detectives were able to determine that both victims in this brutal attack were targeted by the suspect due to them being Muslim and the ongoing Middle Eastern conflict involving Hamas and the Israelis the sheriffs statement said.",1,15,76
"66","11051.rds","content_filter",NA,11051,"Bidens Middle East policy is a disaster. First he thought we could ignore Palestine  genocide. Now he refuses to call for restraint bringing us closer to global conflict.",1,15,68
"67","11079.rds","","0",11079,"We are Back Announcement 2.0! After adjusting our date due to a schedule conflict with a North American Major we are back on April 6 2024. We look forward to seeing everyone this year at Beak Bonk 2024!",1,15,65
"68","11119.rds","","0",11119,"I US and UK in race to try and prevent Israel conflict spreading TomorrowsPapersToday",1,15,35
"69","11151.rds","","0",11151,"There will always be opportunistic authoritarians using times of conflict and unrest to push for antidemocratic arbitrary authoritarian powers. During such times good intelligent people of conscience must defend the principles of a just society against such bad ideas.",1,15,103
"70","11199.rds","","0",11199,"Reports of Unrest Among Israeli Military Ranks Amidst Conflict Israeli media outlet Hebrew Channel 10 is reporting a concerning development of mass desertions among soldiers who are refusing to participate in the ongoing conflict. This alarming situation is accompanied by",1,15,29
"71","11209.rds","","0",11209,"Zelensky Demands No Corruption Questions  report The Ukrainian President has demanded off the record that journalists not raise the topic of corruption while the conflict continues the editorinchief of the",1,15,18
"72","11222.rds","content_filter",NA,11222,"89 of Palestinians support terrorists firing rockets at Israeli civilians according to a PCPO poll Palestinians elected Hamas Palestinians celebrated 911 America should NOT take in a single refugee from Gaza period. There are 49 Muslimmajority countries. Let them take",1,15,45011
"73","11226.rds","","-1",11226,"The untold history of Hamas a",1,15,21953
"74","11230.rds","content_filter",NA,11230,"To the propogrom masses These are the animals you are supporting. Thus a Hamas terrorist spotted an elderly woman inside her house and fired. He murdered her in cold blood.",1,15,14702
"75","11261.rds","","1",11261,"BREAKING Palestinian Authority president Mahmoud Abbas says the policies and actions of Hamas do not represent the Palestinian people",1,15,18271
"76","11266.rds","content_filter",NA,11266,"A photo  clear as day  showing Hamas firing rockets from dense residential neighborhoods in Gaza. The terror organization is using the people of Gaza as their human shields endangering their lives.",1,15,10068
"77","11269.rds","","1",11269,"Not a single protest asking Hamas to return babies it kidnapped. Not a single protest asking Hamas to stop firing rockets that harm Gaza residents. Not a single protest asking Hamas to release hostages end war. These are protests in support of extremism. Not Palestine.",1,15,11411
"78","11298.rds","","-1",11298,"WATCHon potential Israeli occupation of Gaza I think it'd be a big mistake. Look what happened in Gaza in my view is Hamas and the extreme elements of Hamas don't represent all the Palestinian peoplethere needs to be a path to a Palestinian state.",1,15,4056
"79","1130.rds","","-1",1130,"Peace has not existed in Palestine since the beginning of the Israeli occupation. What you want to return to is uncontested violence by Israel.",1,7,242
"80","11312.rds","","0",11312,"President Biden says Hamas must be eliminated but he supports Palestinian statehood. This has been the U.S. policy for decades.",1,15,2760
"81","11372.rds","","1",11372,"Israelis blame govt for Hamas massacre say Netanyahu must resign  poll An overwhelming majority of 86 of respondents including 79 of coalition supporters said the surprise attack from Gaza is a failure of the country's leadership. .Four out of five Jewish Israelis believe",1,15,741
"82","11387.rds","","-1",11387,"This is what happens when the biased media fails to accurately report news. This is what happens when the media labels Palestinians as Hamas and Terrorists. This is what happens when false propaganda such as Day of Jihad is spread to ignite fear.",1,15,1021
"83","11423.rds","","-1",11423,"Cats are showing more compassion for the murdered children of Gaza than some humans!",1,15,25330
"84","11428.rds","","-1",11428,"4 hospitals in northern Gaza are no longer functioning as a result of damage and targeting. 21 hospitals in the Gaza Strip have received instructions from Israeli forces to evacuate. Forced evacuation of hospitals may amount to a violation of International Humanitarian Law.",1,15,15942
"85","11441.rds","","-1",11441,"We have now managed to speak to my Dad who is in the south of Gaza near Rafah. He reports the medical situation is beyond imagining. Bombing has continued even in Rafah. There are thousands in the streets with nowhere to go. Medics can no longer reach many. 13",1,15,19846
"86","11451.rds","","-1",11451,"I dont feel safe here at all but theres nothing to do about it. Good night from Gaza.",1,15,32920
"87","11471.rds","","-1",11471,"I was hugging my daughters when the ceiling blocks started falling on me because of the bombing No one can describe the pain of this mother being unable to protect one of her daughters. Gaza Palestine",1,15,6404
"88","11493.rds","","-1",11493,"A full blockade of Gaza could be considered a crime against humanity and a genocide. It could be investigated by the International Criminal Court.",1,15,9096
"89","11511.rds","","-1",11511,"This was for our brothers and sisters in Afghanistan  Palestine. This will be one of the most memorable match Thank you for your love and support ENGvsAFG CWC23",1,15,88614
"90","11512.rds","","-1",11512,"YouTuber Aleem Iqbal was removed from the KSI vs Fury fight for wearing a 'Free Palestine' tshirt.",1,15,32969
"91","11519.rds","content_filter",NA,11519,"A palestinian child is dead in america. his only crime is being palestinian and muslim. when you have kids in palestine being murdered for existing AND now kids in america as well and youre not speaking against it then you are apart of the problem. I AM SO SICK OF THIS.",1,15,26392
"92","1152.rds","","1",1152,"Willbe sending millions of taxpayers' money and millions of taxpayers' funded military vehicles to the people of Israel just as they did for the pipsqueak in Ukraine?",1,7,167
"93","11521.rds","","-1",11521,"ppl do forget that palestinians aren't all muslims and this war is never between two religions. jewish palestinians are fighting for their lives on a daily basis too and zionists screaming they're kiIIing the Jews! is so ironic bcs they're kiIIing their own ppl too in palestine",1,15,27892
"94","11545.rds","content_filter",NA,11545,"Allahu Akbar Kuwait announced that it stands with the Palestinians against the criminal Zionist occupiers with whom theystill are in war with since 1967. May Allah liberate the Palestinians Gazagenocide Palestine",1,15,8585
"95","11555.rds","","-1",11555,"Massive protests happening in Karachi Pakistan against Israel and in support of Hamas demanding either free Palestine or send them to Gaza frontlines",1,15,8426
"96","11579.rds","","-1",11579,"Storm of Nations Gaza Palestine AlAqsaStorm",1,15,5860
"97","11595.rds","","-1",11595,"all these news about wars can get quite overwhelming for some but its a real issue that is happening involving real peoples lives and not just a topic on the internet. if its too much for you take a rest but dont ignore it completely. keep them in ur prayers. free palestine",1,15,2187
"98","1162.rds","","0",1162,"What were the regimes calculations instriking Israel today? It thinks 1. That the popular uprising in Iran has been weakened 2. The Biden admin isnt tough 3. Israeli society is divided 4. Americas political system is in disarray 5. The external Iranian opposition is",1,7,146
"99","11628.rds","","-1",11628,"Issaying that ethnic cleansing and apartheid are justified because one religious group wants a political state that is not theirs and never was? I suggest he educates himself. Here is some useful reading The Palestine Laboratory How Israel exports the",1,15,2705
"100","11699.rds","","-1",11699,"What we see in Palestine will also be the suffering in the world of all the peoples of the south. Petro on the catastrophe in Gaza as a sign of whats to come",1,15,1561
"101","1170.rds","","-1",1170,"I'm a loser because I wont send my children to die for Israel",1,7,461
"102","11786.rds","","-1",11786,"My name is unmistakably Jewish I couldn't hide it if I wanted to I've received 100s of death threats from fanatical Zionists over the past week as always happen when I criticize Israel's actions. Please stop pretending we're a persecuted minority.",1,16,31626
"103","11808.rds","content_filter",NA,11808,"There's no evidence Hamas uses human shields. Israel has a history of lying and producing propaganda to justify their war crimes. Stop the GazaGenocid",1,16,14452
"104","11829.rds","","1",11829,"There will be no migration from Gaza to Egypt says Hamas leader Ismail Haniyeh who himself is in Doha currently leading a lavish lifestyle. Haniyeh reportedly watched the Hamas attacks on Israel from the comfort of his office in Qatar. Hes a millionaire with 13 children",1,16,18391
"105","11836.rds","content_filter",NA,11836,"If youre shocked by thecoverage of the genocide in Gaza you might have missed this piece from 2018 following the tragic day at the Gaza fence in which Israel killed 60 Palestinians who were protesting Trumps embassy move. Before the Palestinians could even bury",1,16,13450
"106","11838.rds","","0",11838,"JUST IN Another US Congressman has ONCE AGAIN bought war stocks before the Israel and Palestine conflict. Representative Josh Gottheimer purchased up to 15000 of Northrop Grumman Corp NOC on Sept 26. He sits on the National Security Agency and Intelligence Committees.",1,16,13675
"107","11840.rds","","1",11840,"The Walt Disney Company donated 2 million dollars to Israeli organizations. In the wake of the horrific terrorist attacks targeting Jews in Israel this past weekend we must all do what we can to support the innocent people experiencing so much pain violence and uncertainty",1,16,9063
"108","11854.rds","","0",11854,"We are getting ready to welcome hundreds of people who were stuck in Israel back to the United States of America.",1,16,28637
"109","11860.rds","content_filter",NA,11860,"Many reports from Gaza of unknown children showing up at hospitals with no family some wounded and representing the lone survivors of their family. We started seeing this during Israels exterminationist assault in 2014.",1,16,9182
"110","11902.rds","","1",11902,"We stand with Israel as it defends itself. The United States is also actively working to ensure the people of Gaza can get out of harms way and the assistance they needfood water medicinecan get in. Hamas does not care if Palestinians suffer.",1,16,12940
"111","11905.rds","content_filter",NA,11905,"This is inadequate. Wadies murder is the direct result of racist warmongering.repeated the lie about beheaded babies directed US diplomatic corps to avoid calls for ceasefire  backs Israels genocidal warfare. These policies have deadly consequences here too. Gaza",1,16,7598
"112","11924.rds","","0",11924,"War crimes? which war crimes? These war crimes. A general overview of war crimes committed in the Israel  Hamas conflict in Gaza so far. We need accountability security and justice for all. 1. Violations by Israel a. Cutting off Water Electricity and Food",1,16,6140
"113","11929.rds","","1",11929,"We all know Israel is the Goliath in this conflict I always defend Israel against lies. Watch my interview with RT International when faced accusations  IsraelUnderAttack IsraelFightsBack",1,16,3613
"114","11931.rds","","1",11931,"Why does every media outlet treat Gaza Hamas Ministry of Health casualty stats like they were audited by a big 4 accounting firm? Somehow during conflict with Israel no one dies of natural causes.And a lot of dead children turn out to have beards and uniforms. But hey its",1,16,4622
"115","11978.rds","","0",11978,"Countless lives have been needlessly destroyed in the last six months in Sudan. Every day civilians in Sudan are being killed and displaced as the conflict continues to rage. Justice and accountability are essential for the protection of civilians",1,16,568
"116","11985.rds","","0",11985,"Show me something sexier than two grown people who respect one another bring consistent kindness to their relationship handle conflict with care pay attention to their individual wellbeing while also prioritizing the health of their relationship communicate effectively admit",1,16,615
"117","1202.rds","","1",1202,"These people saying we need deescalation are frauds. Theyre not talking about Hamas. Theyre saying Israel shouldnt respond.",1,7,110
"118","12030.rds","","0",12030,"Agreed. The Israeli side shares fake videos and so does the Hamas side Which is why a lot of us arent taking sides in this conflict. Clearly both sides hate each other There are incredibly bad faith actors on both sides  the general populace supporting them are low IQ",1,16,177
"119","12035.rds","","0",12035,"Cobra Short Situation Update 10162023 Lightforces are doing whatever possible to contain the conflict in the Middle East They've communicated to BlackNobility families that they'll begin removing them from the planet if the conflict escalates further",1,16,56
"120","12046.rds","","1",12046,"Israeli government spokesperson Eylon Levy says the conflict with Hamas is a war that Israel has been forced into.",1,16,45
"121","1206.rds","","1",1206,"Sunday GoodMorning support Israel",1,7,44
"122","12075.rds","","0",12075,"For accurate and critical coverage of the IsraelHamas conflict independent ontheground journalistrun news media is your best bet. Here are three places to start.",1,16,47
"123","12118.rds","","1",12118,"Israel will do anything it needs to defend itself its the role of the intl. community to convey that message. Israels Ambassador to Canadadiscusses the conflict with Hamas with . Watch the full interview",1,16,13
"124","12120.rds","content_filter",NA,12120,"The victims in this warconflict which has been long planned by the Nazi Globalists and their terrorist Axis of Evil armed forces of HamasTerrorist Hezbullah and their mother IRGCterroirsts are the people in Israel and the voiceless people in Iran.",1,16,15
"125","1214.rds","","1",1214,"Hamas terrorists invaded Israel to kill innocent Israelis specifically targeting women children girls. In light of this heinous attack America must reaffirm our support for Israel our strongest ally in the Middle East. I stand with Israel.",1,7,70
"126","12146.rds","","0",12146,"More than 2000 US troops have been issued prepare to deploy orders as the IsraelPalestine conflict intensifies with concerns Iran could become involved",1,16,4
"127","12169.rds","","0",12169,"It took GB News 4 days last week to send just 1 reporter to Israel following the Hamas attack. They seem to have plenty to say about the conflict  all from their bunker studios in Central London.",1,16,52
"128","12170.rds","","0",12170,"Local mental health professionals are stepping in to help people cope with grief and anxiety caused by the IsraelHamas war. I spoke with leaders in Louisville's Jewish community who are offering free resources for those impacted by the horrific conflict. IsraelHamas",1,16,12
"129","12176.rds","","0",12176,"High time the Australian government rethinks'we stand with the Israeli government' when there are war criminals on both sides and innocent people on both sides trapped and being killed in this conflict",1,16,12
"130","12212.rds","","0",12212,"People interested in how conflict breaks our brains might like my podcast",1,16,2
"131","12228.rds","","0",12228,"When radical academics say this kind of shit about the IsraeliPalestinian conflict it can easily be explained by a rigid adherence to a simplistic moral framework organized around the oppressedoppressors dichotomy which they apply consistently to every topic.",1,16,104
"132","12269.rds","","0",12269,"Why can't they just let him become of age and then let him sort it out himself.? Worse is a divorce conflict. Crazy.",1,16,19
"133","12334.rds","","1",12334,"This guy was actually in charge of Canadas consular affairs around the world. I can only imagine the Hamas terrorists he helped slip into Canada.",1,16,2311
"134","12359.rds","","-1",12359,"NETANYAHUS STRATEGY TO STRENGTHEN AND FINANCE HAMAS AND COMMUNITY NOTES The community notes are being used for the purpose of debate rather than correction. It is being gamed by Zionists so I will now respond to these community notes. Here is an example Haaretz is an",1,16,1632
"135","12391.rds","","1",12391,"A week ago BBC presenters called for GB News to be shut down because a guest said he didn't want to have sex with a woman. This week the BBC refuse to call Hamas terrorists. I know which one I think is worse.",1,16,1645
"136","12408.rds","","-1",12408,"Israel is falling into Hamass 'trap' in the ferocity of its retribution. War crimes in Gaza will turn international sympathy from Israel to the Palestinians allow Hamas to claim leadership of the Palestinian cause  wreck IsraeliSaudi rapprochement.",1,16,911
"137","12425.rds","","-1",12425,"Whats so perverse about this stuff is een if you set Hamas direct victims aside entirely if upon hearing about this attack you didnt immediately recognize that the consequences for Gazans would be awful then you just have zero understanding of the situation whatsoever.",1,16,2994
"138","12428.rds","","1",12428,"The IDF killed Osama Mazini the head of the Shura Council of Hamas terroist organization in the Gaza Strip.Mazini was responsible for Hamas prisoners and directed terrorist activities against Israel  IDF",1,16,1017
"139","1249.rds","","0",1249,"BREAKING Medvedev regarding the war between Israel and Palestine Clashes between Hamas and Israel on the 50th anniversary of the Yom Kippur War come as an expected development. This is what Washington and its allies should be busy with. The conflict between Israel and",1,7,4550
"140","12495.rds","","-1",12495,"Did you know that Hamas forces every person in Palestine to participate in their war on Israel or be jailed? Oh no wait that's the IDF in Israel",1,16,90
"141","12499.rds","","1",12499,"So they didnt cover the MN couple that was brutally murdered by Hamas but they cover this. I wonder why?",1,16,118
"142","12501.rds","","1",12501,"I'm not sure what else Trudeau can be expected to do. He's said Israel has a right to defend itself denounced antiSemitism urged Hamas to release the hostages called for protection of Palestinian civilians  his gov't is working to get Cdns home. IMO all of this is reasonable",1,16,190
"143","12515.rds","","0",12515,"SCOOP A bipartisan group of U.S. House members plans to urge Egypt to do more to protect Palestinian civilians in Gaza from the IsraelHamas war Axios has learned.",1,16,46
"144","12530.rds","content_filter",NA,12530,"Israelis arent sitting at home minding their business whilst Gaza is being carpet bombed. Theyre baking cookies to send to Israeli soldiers to aid them in their genocide campaign of Palestinians. Meanwhile Palestinian babies  starved to death",1,16,71041
"145","12568.rds","","1",12568,"JUST IN Rep.says No Gaza refugees in the United States. We are already being invaded by people from our own hemisphere. Meanwhile leftist Reps. AOC Ilhan Omar Rashida Tlaib and notorious firealarmpuller Jamaal Bowman are pushing for the US to bring in",1,16,35745
"146","12573.rds","","-1",12573,"I have never seen anything like this A doctor at Al Shifa hospital describing the situation in Gaza.",1,16,11336
"147","12574.rds","","1",12574,"No Gaza refugees in the United States. We are already being invaded by people from our own hemisphere.",1,16,34191
"148","12656.rds","","-1",12656,"My relatives remain under the rubble for 6 hours last time I checked. This was 4 hours ago. Gaza firefighters and first responders are attacked and killed by Israel and as a result people bleed to death or suffocate under the rubble of their houses.",1,16,3070
"149","12665.rds","content_filter",NA,12665,"This beautiful child was murdered by zionistterror. Her crime was just breathing in Gaza.",1,16,4281
"150","12672.rds","content_filter",NA,12672,"srail Gazzede soykrm yapyor btn dnya ise bunu sadece izliyor. Israel is committing genocide in Gaza. The whole world is just watching this. I guess 50 years later Western countries will condemn what is happening today. zionistterror",1,16,2455
"151","12707.rds","content_filter",NA,12707,"I cant stop thinking about our physician colleagues in Gaza who refuse to abandon their critically ill pediatric patients. If you want to kill us kill us while we continue working here.  Dr. Hussam Abu Safiyah",1,16,2853
